"user_id","age","gender","country","urban_rural","income_level","employment_status","education_level","relationship_status","has_children","household_size","occupation","ethnicity","language_preference","device_type","weekly_purchases","monthly_spend","cart_abandonment_rate","review_writing_frequency","average_order_value","preferred_payment_method","coupon_usage_frequency","loyalty_program_member","referral_count","product_category_preference","shopping_time_of_day","weekend_shopper","impulse_purchases_per_month","browse_to_buy_ratio","return_frequency","budgeting_style","brand_loyalty_score","impulse_buying_score","environmental_consciousness","health_conscious_shopping","travel_frequency","hobby_count","social_media_influence_score","reading_habits","exercise_frequency","stress_from_financial_decisions","overall_stress_level","sleep_quality","physical_activity_level","mental_health_score","daily_session_time_minutes","product_views_per_day","ad_views_per_day","ad_clicks_per_day","wishlist_items_count","cart_items_average","checkout_abandonments_per_month","purchase_conversion_rate","app_usage_frequency","notification_response_rate","account_age_months","last_purchase_date","social_sharing_frequency","premium_subscription","return_rate"
969167,74,"Female","Canada","Rural",194560,"Retired","Associate Degree","In a relationship",0,5,"Finance","Hispanic","German","Mobile",3,4874,0,4,56,"PayPal",0,1,1,"Groceries","Morning",1,0,20,0,"Loose",1,0,0,1,12,1,7,15,3,1,2,4,0,2,39,36,15,4,14,8,9,38,3,15,23,"2026-05-14",3,0,24
188942,51,"Male","Canada","Rural",94937,"Retired","Bachelor","Married",0,8,"Healthcare","Other","Spanish","Mobile",8,527,4,4,228,"PayPal",0,0,2,"Fashion","Evening",0,2,35,8,"Strict",10,1,3,1,8,0,8,3,0,0,0,9,9,3,41,47,2,4,18,5,8,27,6,91,5,"2026-02-23",1,0,68
134058,61,"Male","China","Urban",99775,"Self-employed","Associate Degree","Single",1,2,"Finance","Hispanic","French","Desktop",16,1453,33,2,231,"Bank Transfer",4,0,6,"Fashion","Night",1,2,83,1,"Strict",9,4,5,0,0,2,10,6,3,2,3,7,2,10,40,44,8,4,0,8,9,15,2,31,14,"2026-08-12",3,0,28
124022,32,"Female","Australia","Suburban",178676,"Student","High School","Widowed",0,3,"Healthcare","Caucasian","English","Desktop",4,1639,28,1,287,"PayPal",4,1,2,"Electronics","Evening",0,2,18,7,"Strict",7,4,1,1,11,2,1,12,0,4,6,6,10,5,3,6,11,5,16,3,6,30,1,23,16,"2026-10-24",6,1,46
685285,18,"Female","Australia","Urban",109284,"Self-employed","PhD","Married",1,1,"IT","Caucasian","Hindi","Mobile",5,135,66,5,109,"Google Pay",1,1,6,"Electronics","Morning",0,4,13,6,"Moderate",7,9,1,0,8,4,4,17,0,8,8,7,5,3,101,11,11,0,13,3,4,83,2,97,12,"2026-10-08",8,1,3
226318,72,"Male","France","Urban",196045,"Employed","Associate Degree","Divorced",1,5,"IT","Caucasian","Spanish","Desktop",17,634,23,1,369,"Bank Transfer",4,1,10,"Home & Kitchen","Afternoon",1,3,69,9,"Moderate",0,3,0,1,6,0,7,16,2,2,2,6,8,0,22,42,8,3,17,6,0,92,7,10,7,"2026-07-04",4,0,24
365209,74,"Male","Germany","Suburban",180102,"Self-employed","High School","Widowed",1,9,"Education","Caucasian","Hindi","Desktop",3,1880,54,4,237,"Google Pay",1,1,10,"Groceries","Night",1,4,76,6,"Moderate",7,8,6,0,4,5,9,13,4,8,10,8,0,8,44,33,10,1,4,9,0,58,3,70,16,"2026-08-01",0,0,64
648795,31,"Other","Germany","Urban",181592,"Student","Bachelor","Widowed",0,3,"Finance","Asian","Mandarin","Mobile",19,1034,72,3,135,"Google Pay",4,1,6,"Beauty","Afternoon",1,4,93,12,"Moderate",2,9,5,1,1,0,10,1,1,8,10,9,10,8,111,3,4,4,16,2,0,61,3,29,11,"2025-09-23",3,0,54
985797,65,"Female","Germany","Urban",190345,"Self-employed","Bachelor","In a relationship",0,2,"Finance","Other","Mandarin","Mobile",14,4747,21,2,230,"Google Pay",0,0,5,"Toys","Night",1,3,81,1,"Strict",8,3,9,0,9,4,6,21,4,2,2,9,6,8,26,19,19,0,20,8,10,75,7,99,10,"2026-10-20",4,0,65
193627,31,"Male","Japan","Urban",139631,"Retired","Master","Married",0,7,"Other","Asian","Mandarin","Mobile",17,2870,35,3,159,"Apple Pay",2,1,5,"Fashion","Morning",0,3,51,11,"Moderate",1,4,10,1,5,1,5,11,4,3,3,5,9,6,18,0,20,3,9,4,4,0,5,98,24,"2025-04-27",6,1,53
569692,76,"Female","UK","Urban",199225,"Student","Associate Degree","Divorced",1,4,"Marketing","Asian","German","Mobile",15,3357,0,4,338,"Credit Card",4,1,0,"Toys","Evening",1,0,25,1,"Strict",4,0,3,0,3,5,5,1,5,0,1,8,8,6,60,4,14,5,20,2,10,62,2,77,24,"2025-05-10",1,1,81
589449,48,"Female","Canada","Urban",139289,"Self-employed","Bachelor","Divorced",0,9,"IT","African American","German","Desktop",17,2757,15,4,353,"Google Pay",0,1,1,"Sports","Evening",1,2,43,4,"Moderate",9,3,2,1,8,4,5,13,7,1,1,8,1,2,74,16,20,4,15,3,2,68,3,36,22,"2025-01-18",3,0,90
832867,60,"Female","Brazil","Urban",143114,"Retired","Bachelor","Widowed",0,1,"Other","Caucasian","Mandarin","Desktop",18,3414,58,3,484,"PayPal",2,1,0,"Fashion","Evening",1,5,88,2,"Loose",2,8,0,0,4,4,4,22,5,6,5,7,7,2,9,28,0,1,1,6,9,55,3,50,22,"2025-05-28",1,1,79
497690,43,"Male","Japan","Urban",150745,"Unemployed","PhD","Single",1,1,"Marketing","Hispanic","Spanish","Tablet",7,1134,30,6,90,"PayPal",4,1,6,"Toys","Evening",0,3,84,8,"Strict",4,2,2,0,0,3,6,20,3,4,6,9,6,6,84,5,12,0,17,3,3,47,5,82,10,"2026-05-31",6,1,88
402858,59,"Male","China","Suburban",145122,"Self-employed","Master","Married",1,6,"Finance","African American","Spanish","Mobile",8,1574,25,6,331,"Credit Card",3,1,9,"Beauty","Evening",1,1,56,6,"Moderate",7,2,7,1,9,0,10,4,4,3,1,9,8,9,9,14,18,3,3,3,0,57,5,5,21,"2025-04-09",1,1,29
583422,48,"Male","China","Suburban",140941,"Employed","Associate Degree","Single",1,10,"Other","Hispanic","English","Mobile",8,3293,80,1,239,"Credit Card",3,1,1,"Sports","Night",1,7,84,11,"Moderate",2,10,5,0,6,2,10,24,1,10,10,8,6,8,51,30,19,5,1,4,7,48,3,52,5,"2025-10-27",1,0,5
183204,20,"Female","India","Rural",58924,"Self-employed","High School","In a relationship",1,5,"Other","Caucasian","French","Desktop",3,984,37,2,85,"Credit Card",4,1,0,"Sports","Afternoon",1,4,67,11,"Strict",9,4,9,0,1,4,2,8,1,6,6,6,10,3,4,24,14,3,8,8,10,40,3,5,17,"2026-05-06",5,1,22
883281,75,"Female","China","Suburban",159318,"Self-employed","Bachelor","Widowed",0,6,"Engineering","Other","Mandarin","Mobile",19,1988,54,4,328,"PayPal",0,0,1,"Books","Morning",0,4,24,5,"Strict",2,8,9,0,2,3,8,16,2,6,4,9,2,3,2,25,4,5,2,7,8,99,7,80,21,"2025-04-08",5,1,75
669543,80,"Male","Australia","Suburban",51048,"Retired","Master","In a relationship",0,8,"Healthcare","Asian","Mandarin","Mobile",2,4763,86,7,388,"Bank Transfer",2,1,8,"Beauty","Morning",1,6,72,9,"Strict",5,10,3,0,11,1,3,9,0,9,10,9,2,2,22,40,19,2,5,6,7,6,3,16,19,"2026-01-02",5,1,85
277324,73,"Female","USA","Urban",117184,"Student","High School","Married",0,6,"Education","African American","German","Desktop",6,4298,71,4,499,"Credit Card",4,0,5,"Beauty","Morning",1,4,30,5,"Moderate",6,8,4,0,6,0,9,0,2,10,10,4,6,5,20,25,4,5,13,10,8,17,4,73,17,"2026-08-23",2,0,63
944672,61,"Female","Germany","Suburban",128039,"Student","Bachelor","In a relationship",0,6,"Healthcare","Caucasian","Mandarin","Mobile",0,1206,57,5,478,"Credit Card",3,1,10,"Electronics","Afternoon",0,5,19,3,"Strict",6,9,4,1,4,3,7,19,1,7,9,6,3,9,12,13,17,1,13,1,8,87,4,20,4,"2025-04-17",4,0,68
613997,59,"Male","UK","Suburban",96833,"Retired","High School","Single",0,4,"Marketing","Other","Hindi","Desktop",20,1895,18,2,191,"Debit Card",0,0,3,"Electronics","Afternoon",1,1,34,7,"Moderate",9,2,4,1,4,5,8,6,7,3,2,4,9,4,27,34,19,3,2,9,0,41,7,50,11,"2025-01-20",1,1,53
402313,41,"Female","India","Rural",50015,"Retired","Associate Degree","Married",0,4,"Retail","Hispanic","French","Mobile",12,1559,20,1,364,"Credit Card",1,1,6,"Electronics","Evening",1,1,92,2,"Strict",8,3,0,1,1,0,7,5,1,2,1,5,8,10,117,17,17,2,16,1,7,84,2,29,7,"2025-04-05",5,0,2
554826,27,"Male","Germany","Urban",27890,"Self-employed","PhD","In a relationship",0,5,"Healthcare","Hispanic","Hindi","Mobile",13,4183,11,7,436,"Apple Pay",1,0,2,"Books","Night",1,2,34,9,"Loose",8,1,10,0,7,0,9,19,5,2,1,8,9,3,96,49,14,3,3,4,4,66,3,56,17,"2025-10-07",7,1,39
